Date,Open,High,Low,Close,Volume,Market Cap
"Jan 01, 2017",0.028912,0.031179000000000002,0.025406,0.027438999999999998,1332,1316360
"Jan 02, 2017",0.027454000000000003,0.033294,0.026751999999999998,0.032646,5122,1250810
"Jan 03, 2017",0.032645,0.036026,0.030868,0.034201999999999996,10530,1488330
"Jan 04, 2017",0.034194,0.038817000000000004,0.032549,0.03772,4236,1559980
"Jan 05, 2017",0.037817,0.041014,0.029958999999999996,0.040404,8164,1726550
"Jan 06, 2017",0.040514,0.051176,0.037829,0.044961,19413,1850910
"Jan 07, 2017",0.045025,0.050001,0.040349,0.045321,8621,2058400
"Jan 08, 2017",0.045321,0.047812,0.042660000000000003,0.045472000000000005,1407,2073320
"Jan 09, 2017",0.045535,0.067594,0.043052,0.045591,13357,2084560
"Jan 10, 2017",0.048069,0.063052,0.04283,0.051122,10745,2201990
"Jan 11, 2017",0.051128,0.054645000000000006,0.045087,0.054058,17161,2343680
"Jan 12, 2017",0.054199000000000004,0.054358000000000004,0.043624,0.051448,7374,2486080
"Jan 13, 2017",0.05140499999999999,0.07384299999999999,0.050289,0.070137,44370,2359500
"Jan 14, 2017",0.070235,0.080787,0.06287100000000001,0.0727,27491,3225910
"Jan 15, 2017",0.072672,0.079226,0.06969600000000001,0.074911,22075,3340060
"Jan 16, 2017",0.078729,0.09323,0.073874,0.084852,48367,3620780
"Jan 17, 2017",0.081578,0.11729200000000001,0.08152100000000001,0.115619,55087,3754320
"Jan 18, 2017",0.115694,0.139773,0.108099,0.139773,134088,5327900
"Jan 19, 2017",0.14032999999999998,0.143405,0.093654,0.11982899999999999,102767,6466640
"Jan 20, 2017",0.119801,0.130174,0.092879,0.097238,77596,5524240
"Jan 21, 2017",0.097761,0.100252,0.07483,0.086859,119304,4510870
"Jan 22, 2017",0.083366,0.100285,0.08164199999999999,0.084012,48235,3849170
"Jan 23, 2017",0.08381799999999999,0.106279,0.081868,0.092561,53047,3872510
"Jan 24, 2017",0.09251000000000001,0.11369800000000001,0.09068,0.10537300000000001,44163,4276880
"Jan 25, 2017",0.105421,0.11411099999999999,0.098396,0.107994,72288,4876990
"Jan 26, 2017",0.09848,0.11067300000000001,0.096111,0.10217000000000001,30736,4558810
"Jan 27, 2017",0.10206599999999999,0.11232,0.100727,0.1059,18466,4727910
"Jan 28, 2017",0.10593599999999999,0.12251300000000001,0.103679,0.10906099999999999,15643,4910480
"Jan 29, 2017",0.109056,0.11327999999999999,0.10454000000000001,0.109774,20033,5058390
"Jan 30, 2017",0.10977200000000001,0.133299,0.104622,0.110634,40957,5094830
"Jan 31, 2017",0.11059400000000001,0.12075899999999999,0.10855799999999999,0.114696,10920,5136250
"Feb 01, 2017",0.114027,0.120126,0.11172,0.119397,20927,5299070
"Feb 02, 2017",0.119397,0.180422,0.113847,0.120724,20561,5552200
"Feb 03, 2017",0.120683,0.14554,0.117149,0.121635,18151,5615600
"Feb 04, 2017",0.121803,0.12448699999999999,0.10738800000000001,0.113669,27775,5671370
"Feb 05, 2017",0.10906800000000001,0.11721500000000001,0.103762,0.10662999999999999,25513,5081640
"Feb 06, 2017",0.106734,0.116625,0.104335,0.104335,22314,4976010
"Feb 07, 2017",0.10454000000000001,0.115076,0.090036,0.112148,26042,4876790
"Feb 08, 2017",0.11225,0.122225,0.103006,0.10373800000000001,21546,5239770
"Feb 09, 2017",0.103897,0.116417,0.095186,0.103373,23331,4853010
"Feb 10, 2017",0.104279,0.107798,0.098354,0.10008600000000001,9925,4873950
"Feb 11, 2017",0.09986,0.11658299999999999,0.099118,0.104403,9747,4670310
"Feb 12, 2017",0.104306,0.109274,0.087908,0.091315,30335,4881330
"Feb 13, 2017",0.09010599999999999,0.096294,0.084832,0.08906900000000001,26807,4219410
"Feb 14, 2017",0.088163,0.165163,0.085031,0.096999,18415,4131000
"Feb 15, 2017",0.097151,0.14529,0.08904400000000001,0.09867000000000001,22679,4555040
"Feb 16, 2017",0.098687,0.10878499999999999,0.09425900000000001,0.096403,23585,4629960
"Feb 17, 2017",0.09627999999999999,0.10806800000000001,0.095809,0.10744100000000001,21416,4519900
"Feb 18, 2017",0.107634,0.109507,0.099321,0.099832,14541,5056090
"Feb 19, 2017",0.099864,0.103423,0.096398,0.09765399999999999,14576,4693980
"Feb 20, 2017",0.097731,0.09838999999999999,0.094493,0.09689500000000001,4473,4596610
"Feb 21, 2017",0.096832,0.09875,0.090102,0.092498,19878,4557140
"Feb 22, 2017",0.092709,0.099267,0.091185,0.091315,13289,4365780
"Feb 23, 2017",0.091757,0.10216900000000001,0.09108,0.094372,47229,4323620
"Feb 24, 2017",0.094514,0.096214,0.078312,0.082359,35943,4456290
"Feb 25, 2017",0.081968,0.08754400000000001,0.07663099999999999,0.085398,32712,3867110
"Feb 26, 2017",0.085428,0.09174500000000001,0.079533,0.089023,16479,4032780
"Feb 27, 2017",0.08891399999999999,0.090659,0.084739,0.088951,11381,4199920
"Feb 28, 2017",0.089012,0.0906,0.080971,0.081914,8724,4207070
"Mar 01, 2017",0.081919,0.086389,0.08071,0.083367,11922,3874150
"Mar 02, 2017",0.08351599999999999,0.099674,0.08229500000000001,0.092932,21980,3952050
"Mar 03, 2017",0.09291,0.099803,0.087466,0.092796,11549,4399200
"Mar 04, 2017",0.092973,0.09790900000000001,0.084768,0.09447699999999999,12975,4404870
"Mar 05, 2017",0.094412,0.09806799999999999,0.08779400000000001,0.09703200000000001,16132,4475710
"Mar 06, 2017",0.097059,0.111346,0.094814,0.100601,22198,4603920
"Mar 07, 2017",0.100631,0.107787,0.095186,0.106029,15508,4776210
"Mar 08, 2017",0.106002,0.10664900000000001,0.091647,0.09505,54634,5034150
"Mar 09, 2017",0.10194199999999999,0.108249,0.09036699999999999,0.10711099999999998,20140,4844260
"Mar 10, 2017",0.107234,0.110078,0.090193,0.096487,20945,5098710
"Mar 11, 2017",0.098707,0.130352,0.098333,0.12873900000000002,27439,4696140
"Mar 12, 2017",0.12885,0.131991,0.122307,0.13176,19079,6133880
"Mar 13, 2017",0.131806,0.14641600000000002,0.124953,0.14607799999999999,26228,6278340
"Mar 14, 2017",0.14586300000000002,0.187469,0.138558,0.177879,88274,6952020
"Mar 15, 2017",0.17788199999999998,0.215038,0.17543,0.195749,178151,8483180
"Mar 16, 2017",0.197989,0.198414,0.166274,0.171747,86444,9447660
"Mar 17, 2017",0.170645,0.188889,0.14821199999999998,0.177282,106489,8147560
"Mar 18, 2017",0.17844100000000002,0.190338,0.162395,0.170489,59366,8519780
"Mar 19, 2017",0.171221,0.196901,0.166993,0.17968399999999998,61003,8175060
"Mar 20, 2017",0.18925,0.192676,0.167826,0.18646600000000002,75255,9052600
"Mar 21, 2017",0.183091,0.196225,0.176885,0.192991,67721,8763140
"Mar 22, 2017",0.19311099999999998,0.197984,0.177276,0.188226,67898,9248190
"Mar 23, 2017",0.189364,0.270594,0.167971,0.252879,149745,9074220
"Mar 24, 2017",0.260386,0.283744,0.23996599999999998,0.264898,84831,12484900
"Mar 25, 2017",0.265482,0.33558699999999997,0.24712399999999998,0.320677,154200,12736800
"Mar 26, 2017",0.32108400000000004,0.374681,0.309688,0.348023,76164,15413400
"Mar 27, 2017",0.35137199999999996,0.359115,0.24811399999999997,0.299941,116342,16877400
"Mar 28, 2017",0.2996,0.344033,0.285599,0.317371,69879,14398900
"Mar 29, 2017",0.317046,0.341316,0.307104,0.314423,26119,15246200
"Mar 30, 2017",0.31509000000000004,0.349815,0.311892,0.323808,37044,15161000
"Mar 31, 2017",0.318833,0.327432,0.289009,0.29977800000000004,52448,15349900
"Apr 01, 2017",0.308131,0.320567,0.290984,0.316542,33805,14843300
"Apr 02, 2017",0.31657399999999997,0.316873,0.266201,0.275596,63445,15258800
"Apr 03, 2017",0.279615,0.294983,0.260306,0.281876,54780,13485100
"Apr 04, 2017",0.282298,0.294987,0.264054,0.27404,29302,13622300
"Apr 05, 2017",0.273998,0.283442,0.23769099999999999,0.262137,63488,13229400
"Apr 06, 2017",0.26237699999999997,0.286461,0.23273600000000003,0.257819,45977,12675500
"Apr 07, 2017",0.257004,0.309733,0.22780599999999998,0.283298,74661,12423000
"Apr 08, 2017",0.282275,0.302143,0.248837,0.267573,45053,13652300
"Apr 09, 2017",0.267714,0.27131500000000003,0.23935900000000002,0.244236,47976,12955500
"Apr 10, 2017",0.244119,0.263065,0.23728000000000002,0.259863,33355,11820400
"Apr 11, 2017",0.259939,0.27989200000000003,0.231895,0.26204,31856,12594100
