Date,Open,High,Low,Close,Volume,Market Cap
"Jan 01, 2017",963.66,1003.08,958.7,998.33,147775000,15491200000
"Jan 02, 2017",998.62,1031.39,996.7,1021.75,222185000,16055100000
"Jan 03, 2017",1021.6,1044.08,1021.6,1043.84,185168000,16426600000
"Jan 04, 2017",1044.4,1159.42,1044.4,1154.73,344946000,16795400000
"Jan 05, 2017",1156.73,1191.1,910.42,1013.38,510199000,18604000000
"Jan 06, 2017",1014.24,1046.81,883.94,902.2,351876000,16314100000
"Jan 07, 2017",903.49,908.59,823.56,908.59,279550000,14534400000
"Jan 08, 2017",908.17,942.72,887.25,911.2,158715000,14611400000
"Jan 09, 2017",913.24,913.69,879.81,902.83,141877000,14694900000
"Jan 10, 2017",902.44,914.87,901.06,907.68,115808000,14522600000
"Jan 11, 2017",908.12,919.45,762.76,777.76,310929000,14615700000
"Jan 12, 2017",775.18,826.25,755.76,804.83,222326000,12477600000
"Jan 13, 2017",803.74,829.0,780.0,823.98,168968000,12939100000
"Jan 14, 2017",825.14,835.09,812.46,818.41,93063300,13285200000
"Jan 15, 2017",818.14,823.31,812.87,821.8,71013600,13174300000
"Jan 16, 2017",821.78,834.53,820.27,831.53,82755200,13234600000
"Jan 17, 2017",830.95,910.56,830.8,907.94,155095000,13383900000
"Jan 18, 2017",909.37,917.5,858.3,886.62,225677000,14648900000
"Jan 19, 2017",888.34,904.61,884.34,899.07,105625000,14311700000
"Jan 20, 2017",898.17,899.4,887.01,895.03,86728400,14472100000
"Jan 21, 2017",895.55,927.37,895.53,921.79,111158000,14432000000
"Jan 22, 2017",922.21,937.52,897.56,924.67,116573000,14863600000
"Jan 23, 2017",925.5,928.27,916.74,921.01,73588600,14918800000
"Jan 24, 2017",910.68,924.14,892.29,892.69,111349000,14681400000
"Jan 25, 2017",891.92,903.25,891.69,901.54,120831000,14380700000
"Jan 26, 2017",902.39,919.33,902.22,917.59,131958000,14551200000
"Jan 27, 2017",918.36,923.22,915.85,919.75,125594000,14810400000
"Jan 28, 2017",919.81,923.91,919.81,921.59,68979600,14835800000
"Jan 29, 2017",922.07,923.42,919.15,919.5,60851700,14874000000
"Jan 30, 2017",920.15,923.05,919.47,920.38,78227300,14844900000
"Jan 31, 2017",920.96,972.02,920.96,970.4,164582000,14859700000
"Feb 01, 2017",970.94,989.11,970.74,989.02,150110000,15667900000
"Feb 02, 2017",990.0,1013.52,983.22,1011.8,145821000,15977800000
"Feb 03, 2017",1011.46,1033.87,1008.79,1029.91,201278000,16326100000
"Feb 04, 2017",1031.33,1045.9,1015.16,1042.9,155064000,16648800000
"Feb 05, 2017",1043.52,1043.63,1022.37,1027.34,114208000,16847400000
"Feb 06, 2017",1028.4,1044.64,1028.16,1038.15,111762000,16605400000
"Feb 07, 2017",1040.14,1061.93,1040.14,1061.35,146007000,16796600000
"Feb 08, 2017",1062.32,1078.97,1037.49,1063.07,201855000,17156700000
"Feb 09, 2017",1064.7,1088.99,953.34,994.38,407220000,17197100000
"Feb 10, 2017",995.63,998.9,946.69,988.67,190452000,16083600000
"Feb 11, 2017",988.9,1009.29,982.83,1004.45,102261000,15976700000
"Feb 12, 2017",1003.52,1004.76,996.92,999.18,67530000,16214700000
"Feb 13, 2017",998.88,1002.1,976.0,990.64,100607000,16141500000
