,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
STOCKS,5.47,-36.95,26.63,15.05,2.09,15.98,32.35,13.65,1.37,11.93,21.79
BONDS,11.82,-2.81,11.03,6.33,13.39,6.87,-8.83,4.07,-1.67,4.63,2.97
